"year","month","brand","ytd_electric_registrations","ytd_hybrid_registrations","ytd_plugin_registrations","ytd_diesel_plugin_registrations","ytd_registrations"
2023,10,"BYDAUTO",14321,0,0,0,14321
2023,10,"HYUNDAI",4252,9967,0,0,14219
2023,10,"KIA",848,533,8095,0,9476
2023,10,"SUZUKI",0,7631,0,0,7631
2023,10,"GEELY",6480,0,0,0,6480
2023,10,"TESLA",5584,0,0,0,5584
2023,10,"MG",2267,0,2626,0,4893
2023,10,"MERCEDES_BENZ",886,0,641,88,1615
2023,10,"SKODA",1513,0,62,0,1575
2023,10,"LEXUS",46,944,366,0,1356
2023,10,"BMW",240,0,714,0,954
2023,10,"ORA",878,0,0,0,878
2023,10,"VOLVO",280,0,505,0,785
2023,10,"SERES",773,0,0,0,773
2023,10,"NISSAN",0,746,0,0,746
2023,10,"SKYWELL",582,0,0,0,582
2023,10,"HONDA",0,528,0,0,528
2023,10,"GENESIS",526,0,0,0,526
2023,10,"VOLKSWAGEN",471,0,0,0,471
2023,10,"AUDI",378,2,62,0,442
2023,10,"LEAPMOTOR",438,0,0,0,438
2023,10,"WEY",0,0,392,0,392
2023,10,"FIAT",382,0,0,0,382
2023,10,"LYNKCO",0,0,381,0,381
2023,10,"EVEASY",371,0,0,0,371
2023,10,"AIWAYS",369,0,0,0,369
2023,10,"MAXUS",245,0,0,0,245
2023,10,"RENAULT",0,236,0,0,236
2023,10,"POLESTAR",228,0,0,0,228
2023,10,"CITROEN",192,0,0,0,192
2023,10,"JAC",158,0,0,0,158
2023,10,"VOYAH",139,0,0,0,139
2023,10,"PEUGEOT",85,0,46,0,131
2023,10,"MITSUBISHI",0,0,122,0,122
2023,10,"HONGQI",80,0,0,0,80
2023,10,"DS_AUTOMOBILES",10,0,58,0,68
2023,10,"MINI",13,0,54,0,67
2023,10,"OPEL",54,0,0,0,54
2023,10,"CUPRA",0,0,50,0,50
